module,metric,mean,std
EmergencyLaneScenario.node[2].nic.mac1609_4,ReceivedUnicastPackets,0.0,0.0
EmergencyLaneScenario.node[18].nic.mac1609_4,ReceivedUnicastPackets,0.0,0.0
EmergencyLaneScenario.node[4].nic.mac1609_4,SlotsBackoff,80.0,113.13708499
EmergencyLaneScenario.node[22].nic.mac1609_4,retriesExceeded:count,0.0,0.0
EmergencyLaneScenario.node[31].appl,emergencyMessagesReceived,0.0,0.0
EmergencyLaneScenario.node[10].nic.mac1609_4,ReceivedUnicastPackets,0.0,0.0
EmergencyLaneScenario.node[10].nic.phy80211p,busyTime,0.00235064220183,0.0
EmergencyLaneScenario.node[13].nic.mac1609_4,RetriesExceeded,0.0,0.0
EmergencyLaneScenario.node[20].veinsmobility,stopTime,60.0,0.0
EmergencyLaneScenario.node[30].appl,receivedBSMs,798.0,0.0
EmergencyLaneScenario.node[26].veinsmobility,totalDistance,190.08050204,0.0
EmergencyLaneScenario.node[23].nic.mac1609_4,RetriesExceeded,0.0,0.0
EmergencyLaneScenario.node[27].appl,receivedWSAs,0.0,0.0
EmergencyLaneScenario.node[14].nic.mac1609_4,sentPackets:count,53.0,0.0
EmergencyLaneScenario.node[8].appl,receivedBSMs,540.5,764.382430463
EmergencyLaneScenario.node[31].nic.mac1609_4,ReceivedBroadcasts,699.0,0.0
EmergencyLaneScenario.node[20].appl,receivedWSMs,0.0,0.0
EmergencyLaneScenario.node[33].appl,generatedWSAs,0.0,0.0
EmergencyLaneScenario.node[5].nic.mac1609_4,sentPackets:count,37.5,53.033008589
EmergencyLaneScenario.node[33].appl,receivedWSMs,0.0,0.0
EmergencyLaneScenario.node[18].veinsmobility,totalTime,26.4,0.0
EmergencyLaneScenario.node[26].nic.mac1609_4,RetriesExceeded,0.0,0.0
EmergencyLaneScenario.node[27].veinsmobility,totalTime,95.6,0.0
EmergencyLaneScenario.node[16].nic.mac1609_4,ReceivedUnicastPackets,0.0,0.0
EmergencyLaneScenario.node[14].appl,emergencyMessagesReceived,1.0,0.0
EmergencyLaneScenario.node[6].nic.mac1609_4,SNIRLostPackets,0.0,0.0
EmergencyLaneScenario.node[0].nic.phy80211p,busyTime,0.000407169811321,0.000575825069359
EmergencyLaneScenario.node[16].veinsmobility,startTime,21.6,0.0
EmergencyLaneScenario.node[8].veinsmobility,totalCO2Emission,67.0165782105,78.5030781675
EmergencyLaneScenario.node[33].nic.mac1609_4,sentAcks:count,0.0,0.0
EmergencyLaneScenario.node[8].nic.mac1609_4,retriesExceeded:count,0.0,0.0
EmergencyLaneScenario.node[1].appl,receivedWSMs,20.5,28.9913780286
EmergencyLaneScenario.node[2].appl,avgResponseTime,370.500104472,0.0
EmergencyLaneScenario.node[20].appl,receivedWSAs,0.0,0.0
EmergencyLaneScenario.node[1].nic.mac1609_4,sentAcks:count,0.0,0.0
EmergencyLaneScenario.node[15].nic.mac1609_4,totalBusyTime,0.071756,0.0
EmergencyLaneScenario.node[1].nic.mac1609_4,collisions:count,0.0,0.0
EmergencyLaneScenario.node[13].nic.mac1609_4,totalBusyTime,0.114872,0.0
EmergencyLaneScenario.node[20].nic.mac1609_4,totalBusyTime,0.089682,0.0
EmergencyLaneScenario.rsu[1].nic.mac1609_4,DroppedPacketsInMac,0.0,0.0
EmergencyLaneScenario.node[25].nic.mac1609_4,retriesExceeded:count,0.0,0.0
EmergencyLaneScenario.node[11].nic.mac1609_4,ReceivedUnicastPackets,0.0,0.0
EmergencyLaneScenario.node[3].nic.mac1609_4,channelBusy:timeavg,0.00106405674847,0.00150480348482
EmergencyLaneScenario.rsu[0].nic.mac1609_4,SentPackets,0.0,0.0
EmergencyLaneScenario.node[8].nic.mac1609_4,SNIRLostPackets,0.0,0.0
EmergencyLaneScenario.node[16].nic.mac1609_4,TooLittleTime,0.0,0.0
EmergencyLaneScenario.node[22].nic.phy80211p,busyTime,0.00256708860759,0.0
EmergencyLaneScenario.node[28].nic.mac1609_4,SentAcknowledgements,0.0,0.0
EmergencyLaneScenario.node[1].appl,laneChangesPerformed,0.0,0.0
EmergencyLaneScenario.node[22].nic.mac1609_4,ReceivedBroadcasts,776.0,0.0
EmergencyLaneScenario.node[7].nic.mac1609_4,SNIRLostPackets,0.0,0.0
EmergencyLaneScenario.node[33].veinsmobility,totalTime,13.2,0.0
EmergencyLaneScenario.rsu[0].appl,priorityMessagesSent,0.0,0.0
EmergencyLaneScenario.node[9].nic.mac1609_4,SentAcknowledgements,0.0,0.0
EmergencyLaneScenario.node[6].appl,laneChangesPerformed,0.0,0.0
EmergencyLaneScenario.node[31].veinsmobility,totalTime,43.2,0.0
EmergencyLaneScenario.node[27].veinsmobility,maxSpeed,27.0715287712,0.0
EmergencyLaneScenario.node[30].nic.mac1609_4,ReceivedBroadcasts,798.0,0.0
EmergencyLaneScenario.node[5].nic.mac1609_4,channelBusy:timeavg,0.00100895053476,0.00142687153002
EmergencyLaneScenario.node[23].veinsmobility,startTime,28.4,0.0
EmergencyLaneScenario.node[4].veinsmobility,stopTime,64.3,58.972705551
EmergencyLaneScenario.node[15].appl,laneChangesPerformed,0.0,0.0
EmergencyLaneScenario.node[16].nic.mac1609_4,SNIRLostPackets,0.0,0.0
EmergencyLaneScenario.node[29].appl,receivedBSMs,541.0,0.0
EmergencyLaneScenario.node[12].nic.mac1609_4,SentAcknowledgements,0.0,0.0
EmergencyLaneScenario.node[10].veinsmobility,minSpeed,0.51612102853,0.0
EmergencyLaneScenario.node[16].appl,receivedBSMs,727.0,0.0
EmergencyLaneScenario.node[20].veinsmobility,totalTime,33.6,0.0
EmergencyLaneScenario.node[29].appl,generatedWSAs,0.0,0.0
EmergencyLaneScenario.node[16].nic.mac1609_4,retriesExceeded:count,0.0,0.0
EmergencyLaneScenario.node[17].nic.mac1609_4,sentAcks:count,0.0,0.0
EmergencyLaneScenario.node[20].nic.mac1609_4,SentPackets,34.0,0.0
EmergencyLaneScenario.node[0].nic.mac1609_4,channelBusy:timeavg,0.000695471698113,0.000983545507718
EmergencyLaneScenario.node[31].nic.mac1609_4,TotalLostPackets,10.0,0.0
EmergencyLaneScenario.node[12].nic.phy80211p,busyTime,0.00239680851064,0.0
EmergencyLaneScenario.node[28].veinsmobility,totalTime,48.0,0.0
